SKU,Actual Size On TEMU,Quantity,Tracking
5010160#32BlackGreyS,Black Grey Glen Plaid / S,1,9300111038400045869406
5010160#32BlackGreyXL,Black Grey Glen Plaid / XL,1,9300111038400045863152
5010160#32BlackGreyXL,Black Grey Glen Plaid / XL,1,9300111038400045869550
5010160#51BlackWineL,Black White Houndstooth / L,1,9300111038400045863237
5010160#51BlackWineL,Black White Houndstooth / L,1,9300111038400045863312
5010160#51BlackWineM,Black White Houndstooth / M,1,9300111038400045863145
5010160#51BlackWineS,Black White Houndstooth / S,1,9300111038400045863282
5010160#51BlackWineS,Black White Houndstooth / S,1,9300111038400045871034
5010160#51BlackWineXL,Black White Houndstooth / XL,1,9300111038400045863152
5010160BlackL,Black / L,3,9334611038400006607421
5010160BlackM,Black / M,1,9300111038400045863145
5010160BlackM,Black / M,1,9300111038400045863329
5010160BlackXL,Black / XL,1,9300111038400045863176
5010160InkM,Ink / M,1,9300111038400045859988
5010160InkM,Ink / M,1,9300111038400045863329
5010160InkS,Ink / S,1,9300111038400045869420
5010160KhakiL,Khaki / L,1,9300111038400045870006
5010160KhakiL,Khaki / L,1,9334611038400006607421
5010160KhakiM,Khaki / M,1,9300111038400045863176
5010160KhakiM,Khaki / M,1,9300111038400045863329
5010160M-#51 tooth M,黑色 / M,1,9300111038400045978238
5010407BK8,黑色 / S,1,9300111038400045869505
5010407Fuchsia16,Fuchsia / XXL,1,9300111038400045869727
5010407Gold12,Gold / L,1,9300111038400045869536
5010407Gold12,Gold / L,1,9300111038400045869871
5010407Gold12,Gold / L,1,9300111038400045871270
5010407Gold16,Gold / XXL,1,9300111038400045871126
5010407Gold8,Gold / S,1,9300111038400045863275
5010407Khaki10,Khaki / M,1,9300111038400045869383
5010407Khaki6,Khaki / XS,1,9300111038400045870853
5010407NVY12,藏青色 / L,1,9300111038400045869840
5010407NVY14,藏青色 / XL,1,9300111038400045869437
5010407Peach6,Peach / XS,1,9300111038400045869864
5010407Red12,Red / L,1,9300111038400045871065
5010407W fuchsia10,玫红色 / M,1,9300111038400046035565
5010407W fuchsia10,玫红色 / M,1,9300111038400046035732
5010407W fuchsia12,玫红色 / L,1,9300111038400046035411
5010407W fuchsia14,玫红色 / XL,1,9300111038400046034346
5010407W fuchsia16,玫红色 / XXL,1,9300111038400046036067
5010407W Gold12,姜黄色 / L,1,9300111038400046034346
5010407W Gold14,姜黄色 / XL,1,9300111038400046035923
5010407W Khaki14,卡其色 / XL,1,9300111038400046034339
5010407W Khaki16,卡其色 / XXL,1,9300111038400046034384
5010407W Khaki8,卡其色 / S,1,9300111038400046036050
5010407W Olive10,军绿色 / M,1,9300111038400046035398
5010407W Olive12,军绿色 / L,1,9300111038400046035985
5010407W Olive12,军绿色 / L,1,9300111038400046034346
5010407W Olive12,军绿色 / L,1,9300111038400046035435
5010407W Olive14,军绿色 / XL,1,9300111038400046036081
5010407W Olive14,军绿色 / XL,1,9300111038400046035541
5010407W Olive14,军绿色 / XL,1,9300111038400046034339
5010407W Olive8,军绿色 / S,1,9300111038400046036128
5010407W Olive8,军绿色 / S,1,9300111038400046035909
5010407W peach10,藕色 / M,1,9300111038400046035831
5010407W red12,红色 / L,1,9300111038400046035862
5010407W red14,红色 / XL,1,9300111038400046035855
5010407W red14,红色 / XL,1,9300111038400046035404
5010407W red14,红色 / XL,1,9300111038400046034339
5010407W red16,红色 / XXL,1,9300111038400046034384
5010407W red8,红色 / S,1,9300111038400046032434
50154GreenTealS,S / 绿色,1,9300111038400045870983
50194White10,白色 / M,1,9300111038400045869215
50194White14,白色 / XL,1,9300111038400045869451
50199BlackL,Black / L,1,9300111038400046042426
50199BlackM,黑色 / M,1,9300111038400045888346
50199BlackM,Black / M,1,9300111038400046019596
50199BlackM,Black / M,1,9300111038400046042143
50199BlackXL,黑色 / XL,1,9300111038400045888568
50199KhakiL,Khaki / L,1,9300111038400046042426
50199KhakiM,卡其色 / M,1,9300111038400045888148
50199KhakiM,Khaki / M,1,9300111038400046042402
50199NavyL,Navy / L,1,9300111038400045888353
50199NavyL,Navy / L,1,9300111038400045888094
50199NavyXL,Navy / XL,1,9300111038400045888049
50199RedL,Red / L,1,9300111038400046042426
50199RedM,Red / M,1,9300111038400046019596
50199RedXS,Red / XS,1,9300111038400046042150
50199WhiteS,White / S,1,9300111038400046023340
5020055Black10,Black / M,1,9300111038400045869284
5020055Black10,Black / M,1,9334611038400006612036
5020055Black12,Black / L,1,9300111038400045863213
5020055Black12,Black / L,1,9300111038400045869628
5020055Black12,Black / L,1,9300111038400045978801
5020055Black14,Black / XL,1,9300111038400045863138
5020055Black14,Black / XL,1,9300111038400045863336
5020055Black14,Black / XL,1,9334611038400006607445
5020055Black16,Black / XXL,1,9300111038400045871072
5020055Black6,Black / XS,1,9300111038400045871140
5020055Black8,Black / S,1,9300111038400045870815
5020055Black8,Black / S,1,9300111038400045978528
